GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: DTWTest
InfoText: This data contains some DTW timeseries data
NumDimensions: 2
TotalNumTrainingExamples: 16
NumberOfClasses: 1
ClassIDsAndCounters: 
5	16
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 5
TimeSeriesLength: 30
TimeSeriesData: 
0.602041	0.993878
0.822449	1
0.97551	0.995918
************TIME_SERIES************
ClassID: 5
TimeSeriesLength: 30
TimeSeriesData: 
0.196203	0
0.272152	0.0126582
0.299578	0.0147679
0.301688	0.0126582
0.352321	0.0316456
0.474684	0.0759494
0.586498	0.137131
0.594937	0.196203
0.5	0.240506
0.327004	0.270042
0.158228	0.299578
0.0443038	0.329114
0	0.360759
0.0274262	0.411392
0.124473	0.474684
0.28903	0.529536
0.466245	0.544304
0.611814	0.567511
0.685654	0.599156
0.666667	0.639241
0.56962	0.689873
0.42616	0.732068
0.267932	0.772152
0.166667	0.818565
0.170886	0.879747
0.341772	0.921941
0.554852	0.940928
0.770042	0.957806
0.924051	0.947257
1	0.92616
************TIME_SERIES************
ClassID: 5
TimeSeriesLength: 30
TimeSeriesData: 
0.132505	0
0.190476	0.00207039
0.248447	0.0269151
0.327122	0.057971
0.430642	0.109731
0.546584	0.173913
0.569358	0.227743
0.482402	0.267081
0.341615	0.287785
0.169772	0.304348
0.0414079	0.337474
0	0.383023
0.0496894	0.445135
0.151139	0.513458
0.296066	0.57764
0.455487	0.600414
0.583851	0.610766
0.662526	0.627329
0.660455	0.650104
0.556936	0.687371
0.418219	0.73913
0.254658	0.795031
0.118012	0.84058
0.0455487	0.888199
0.0372671	0.931677
0.0786749	0.960663
0.196687	0.977226
0.385093	0.995859
0.641822	1
0.770186	0.995859
************TIME_SERIES************
ClassID: 5
TimeSeriesLength: 30
TimeSeriesData: 
0.0529412	0.00196078
0.0431373	0
0.105882	0.00196078
0.201961	0.0313725
0.321569	0.0941176
0.460784	0.166667
0.54902	0.227451
0.507843	0.268627
0.372549	0.301961
0.192157	0.32549
0.0784314	0.376471
0.0411765	0.431373
0.054902	0.501961
0.129412	0.566667
0.258824	0.627451
0.421569	0.64902
0.57451	0.652941
0.660784	0.670588
0.662745	0.7
0.572549	0.745098
0.417647	0.8
0.235294	0.84902
0.0745098	0.87451
0	0.907843
0.0235294	0.945098
0.119608	0.978431
0.276471	0.990196
0.482353	1
0.654902	0.990196
0.731373	0.97451
************TIME_SERIES************
ClassID: 5
TimeSeriesLength: 30
TimeSeriesData: 
0.153846	0
0.16044	0.0021978
0.171429	0.0021978
0.2	0.0043956
0.281319	0.0197802
0.402198	0.0659341
0.573626	0.131868
0.621978	0.195604
0.540659	0.248352
0.347253	0.287912
0.182418	0.342857
0.0681319	0.393407
0.0021978	0.465934
0	0.549451
0.0725275	0.626374
0.197802	0.687912
0.369231	0.705495
0.531868	0.698901
0.637363	0.672527
0.701099	0.663736
0.70989	0.681319
0.668132	0.742857
0.52967	0.817582
0.397802	0.876923
0.349451	0.927473
0.43956	0.964835
0.556044	0.993407
0.63956	1
0.78022	1
0.967033	1
************TIME_SERIES************
ClassID: 5
TimeSeriesLength: 30
TimeSeriesData: 
0.0626263	0.00808081
0.0585859	0.010101
0.0686869	0.010101
0.119192	0.0020202
0.19596	0
0.294949	0.0343434
0.40404	0.0888889
0.49697	0.151515
0.535354	0.212121
0.49697	0.262626
0.39596	0.30303
0.256566	0.335354
0.137374	0.373737
0.0444444	0.408081
0	0.452525
0.0181818	0.505051
0.0747475	0.559596
0.167677	0.606061
0.290909	0.650505
0.424242	0.674747
0.541414	0.680808
0.612121	0.70101
0.628283	0.733333
0.585859	0.777778
0.456566	0.824242
0.333333	0.874747
0.270707	0.927273
0.357576	0.965657
0.472727	0.991919
0.571717	1
************TIME_SERIES************
ClassID: 5
TimeSeriesLength: 30
TimeSeriesData: 
0.136986	0.0136986
0.152642	0.00978474
0.181996	0.00587084
0.252446	0
0.354207	0.00978474
0.463796	0.0469667
0.53229	0.072407
0.493151	0.111546
0.409002	0.146771
0.317025	0.193738
0.209393	0.250489
0.127202	0.293542
0.0489237	0.334638
0	0.373777
0.0195695	0.426614
0.0802348	0.499022
0.172211	0.565558
0.311155	0.614481
0.450098	0.639922
0.573386	0.645793
0.637965	0.65362
0.649706	0.684932
0.600783	0.737769
0.479452	0.802348
0.356164	0.843444
0.2818	0.874755
0.248532	0.913894
0.258317	0.949119
0.291585	0.976517
0.385519	1
************TIME_SERIES************
ClassID: 5
TimeSeriesLength: 30
TimeSeriesData: 
0.0650888	0.0276134
0.086785	0.025641
0.110454	0.0197239
0.151874	0.00197239
0.266272	0
0.382643	0.0335306
0.441815	0.0848126
0.422091	0.140039
0.313609	0.197239
0.189349	0.250493
0.0966469	0.301775
0.0335306	0.343195
0	0.384615
0.0197239	0.426036
0.0887574	0.491124
0.199211	0.568047
0.349112	0.629191
0.495069	0.678501
0.583826	0.696252
0.623274	0.715976
0.577909	0.749507
0.4714	0.788955
0.351085	0.822485
0.25641	0.846154
0.22288	0.87574
0.248521	0.911243
0.329389	0.948718
0.508876	0.976331
0.741617	0.994083
0.960552	1
